"followup_time","survival_diff","2.5%","97.5%"
0,0.00328799986308415,-0.00801004759638924,0.018131753958446
1,0.00557871002807253,-0.0120667703271276,0.0305232108471462
2,0.00738288255458475,-0.0147377024183378,0.0418387306104612
3,0.00897694213574529,-0.0178564229568992,0.0515463976542203
4,0.0105484881002463,-0.0209298043994971,0.0596833532641065
5,0.012268809002685,-0.024231366291016,0.0685327139707096
6,0.0143472459474332,-0.0281868288532648,0.0801840074840305
7,0.0170938337685932,-0.0323119973637659,0.095734286797107
8,0.0210039532851466,-0.0398276086358961,0.112553743353177
9,0.0268375454650651,-0.0529622876677689,0.127490588617535
