fup,S_0_mean,S_1_mean,MRD_hat,CIlow_emp,CIhigh_emp,BS_PE,CIlow_pct,CIhigh_pct
0,0.9833142176373891,0.9914067495002301,0.00809253186284098,-0.004554213301518544,0.018357631884097725,0.00769658392008725,-0.0021725681584157663,0.020739277027200503
1,0.9671379225586568,0.9828631225162313,0.015725199957574487,-0.005956184953084996,0.03541996200715697,0.014873583225079012,-0.003969562092007994,0.03740658486823397
2,0.9512948251569866,0.9743032306030674,0.02300840544608085,-0.008580351632849342,0.05163522431340695,0.021803663943790467,-0.00561841342124525,0.05459716252501104
3,0.9356348332845462,0.9656634060098704,0.03002857272532422,-0.010416359497771643,0.06738902616681158,0.028562352782027445,-0.007331880716163142,0.07047350494842008
4,0.9200259787829707,0.9568806546400794,0.036854675857108776,-0.012300111420956772,0.08210381304596942,0.03514232656828999,-0.008394461331751868,0.08600946313517432
5,0.9043486305674259,0.9478912873366551,0.04354265676922919,-0.01449275918264703,0.09648930402865824,0.041511813660475884,-0.009403990490199854,0.10157807272110542
6,0.8884912573563873,0.9386296699794068,0.050138412623019435,-0.015721196233952336,0.11071548183476071,0.047648216432218955,-0.01043865658872184,0.1159980214799912
7,0.8723472704534495,0.9290270510161324,0.05667978056268286,-0.017529284679493717,0.12495838497156897,0.05355705086972937,-0.011598823846203254,0.13088884580485943
8,0.8558126479440237,0.9190104398005707,0.06319779185654706,-0.017895133555099252,0.13929663365323108,0.05927932191381922,-0.012901049940136966,0.14429071726819337
9,0.8387841542923451,0.9085015224200159,0.06971736812767082,-0.018253546036910873,0.15421661167653106,0.06488822585965488,-0.014781875421189417,0.1576882822922525
