"followup_time","survival_diff","2.5%","97.5%"
0,0.00333569379844001,-0.00275793134975916,0.0170777124744084
1,0.00618454935450929,-0.00519870833624764,0.0287495328689933
2,0.00873209960171073,-0.00726690965605586,0.038528655887817
3,0.0111092763927096,-0.00950965279996885,0.046348131990555
4,0.0134177581751694,-0.0114017393974691,0.0554138472780635
5,0.0157453530155334,-0.0132380609824009,0.0645063737199663
6,0.0181765122966518,-0.0150473847022043,0.0740487297576258
7,0.0208004512643495,-0.0173719627732323,0.0846098628760822
8,0.023717916406326,-0.0197603760228014,0.0943606533227925
9,0.0270464163373019,-0.0229278154629032,0.103852580456546
