"followup_time","survival_diff","2.5%","97.5%"
0,0.0125633432519777,-0.000907475110819789,0.0483995286276868
1,0.022429434797923,-0.0017444193378629,0.0761849635019873
2,0.0304810771263004,-0.00253729436121586,0.0953739928875151
3,0.0372860523726317,-0.00330726269451653,0.113320006089078
4,0.0432270685678421,-0.00407238253103215,0.127368650632766
5,0.0485742989119363,-0.004849158422505,0.138477845565968
6,0.053528045541375,-0.00565372541199499,0.1473275027358
7,0.0582451249904841,-0.00650283069125418,0.154414230683141
8,0.0628560589380165,-0.00741470214433754,0.160109560797977
9,0.067476925037894,-0.00840982462303558,0.164697098169417
