"followup_time","survival_diff","2.5%","97.5%"
0,-0.00460775430800486,-0.0146835550051672,0.00950860276826992
1,-0.00903930282337573,-0.0251487422842686,0.0169558906560915
2,-0.0134138157000449,-0.0332802996658926,0.0231412432985492
3,-0.0178429616914964,-0.0401301533585742,0.0283629248758125
4,-0.0224392645911637,-0.0480159759829158,0.0325873436201125
5,-0.0273238369266134,-0.059567943775375,0.0364718526481014
6,-0.0326341703175134,-0.0713545550021832,0.0402195833221678
7,-0.0385323512231976,-0.0851821785519821,0.044001921155436
8,-0.0452136025309597,-0.102878915836049,0.0479809200268816
9,-0.0529141535027319,-0.12091491598893,0.0523239709472864
