fup,S_0_mean,S_1_mean,MRD_hat,CIlow_emp,CIhigh_emp,BS_PE,CIlow_pct,CIhigh_pct
0,0.9882661225565087,0.9872248816263789,-0.0010412409301298053,-0.01518453064848074,0.006871299083168025,-0.00012402726735211644,-0.008953780943427636,0.013102048788221129
1,0.9763689908540588,0.974320979769727,-0.0020480110843318355,-0.028774014361456025,0.013596577860249481,-0.0006201012958843696,-0.017692600028913152,0.024677992192792354
2,0.9647620592305128,0.9617754043312143,-0.002986654899298502,-0.039774970275458954,0.020203146727287624,-0.001360433552767123,-0.026176456525884628,0.03380166047686195
3,0.95384993119548,0.9500170450870514,-0.0038328861084285792,-0.04853773861792278,0.0270502018294293,-0.002211580212853313,-0.03471597404628646,0.04087196640106562
4,0.9439528769129486,0.939380722700134,-0.00457215421281465,-0.055897145136038356,0.03271962974739989,-0.0030524644894752385,-0.04186393817302919,0.04675283671040906
5,0.9352868790043664,0.930088108950877,-0.005198770053489343,-0.062013611517255846,0.03808879598751064,-0.003795188855283145,-0.048486336094489324,0.05161607141027716
6,0.9279589018799059,0.9222445288787565,-0.005714373001149409,-0.06723520702330377,0.043093880053990063,-0.004393429651817657,-0.05452262605628888,0.05580646102100495
7,0.9219750271299477,0.9158488628986179,-0.006126164231329834,-0.07137654668851778,0.04641275601361555,-0.004837520417900398,-0.05866508447627522,0.05912421822585811
8,0.9172580171041912,0.9108128596373176,-0.0064451574668735745,-0.07460671399763537,0.048152893642914085,-0.0051422351521774965,-0.061043208576661234,0.06171639906388822
9,0.9136704520905817,0.9069858783174983,-0.006684573773083402,-0.07709597826063397,0.048975176971755296,-0.005333679652866801,-0.0623443245179221,0.06372683071446716
