"followup_time","survival_diff","2.5%","97.5%"
0,0.00809254105384449,-0.00176661679884066,0.0231110095419575
1,0.0157252174870433,-0.0029324857026789,0.0463423257879962
2,0.0230084310770275,-0.00380115158331695,0.0676001081326429
3,0.0300286065703124,-0.00451759133145313,0.0846860773854615
4,0.0368547182083563,-0.0051649713369506,0.103712199338741
5,0.0435427079890939,-0.00580176194245541,0.122214528287303
6,0.0501384730725434,-0.0064800937754822,0.138495571808727
7,0.056679850554205,-0.0072583102622551,0.152264449667564
8,0.0631978716216391,-0.00821286381782504,0.163471639140692
9,0.0697174577951448,-0.00945118578659171,0.172263638909561
