"followup_time","survival_diff","2.5%","97.5%"
0,-0.000189065009944644,-0.00457449617533623,0.00798106027441758
1,-0.000461252710190707,-0.00849947887888131,0.017351040681724
2,-0.000822888515391584,-0.0137829971553768,0.0305251857881041
3,-0.00126632909222046,-0.0210608844309743,0.0448925485614536
4,-0.0017688211380511,-0.0297981312284049,0.0584240879705899
5,-0.00229635502466663,-0.0390038681652474,0.0725659931659334
6,-0.00281117037090695,-0.0479188820231838,0.0856260411479043
7,-0.00327983580893665,-0.0558783915949575,0.0965620085473894
8,-0.00367904135022645,-0.062936719936145,0.106990719384856
9,-0.00399784107584766,-0.0698582353465032,0.118820707032468
