"followup_time","survival_diff","2.5%","97.5%"
0,0.0103184656263924,-0.000251895155321813,0.0303608210814506
1,0.0187826672258279,-0.000466637822586213,0.0536737981354516
2,0.0259687122101255,-0.000664189145927196,0.0730506981089007
3,0.0322574573640511,-0.000858502370303993,0.0878059438688636
4,0.0379125587416311,-0.00106008715253686,0.100198597272157
5,0.0431246818653119,-0.00127747398684597,0.111808409015191
6,0.0480377127634068,-0.00151806847446129,0.119694445979134
7,0.0527648870142632,-0.00178862282907205,0.126895893888344
8,0.0573989559845711,-0.00209540756183146,0.134910250248037
9,0.0620185725097848,-0.0024440692683208,0.144559671273015
