"followup_time","survival_diff","2.5%","97.5%"
0,0.000521073046124587,-0.00645719918536619,0.0118983750138506
1,0.000963154592782511,-0.0118044506286644,0.0220273846294333
2,0.00134766587162383,-0.016394521675424,0.0303539322628052
3,0.00168951404224704,-0.0205400440827943,0.0374675799313776
4,0.00199945931092504,-0.0242089204664812,0.0429908396039164
5,0.00228553862753933,-0.0274520137902481,0.0479198276516946
6,0.00255395560816496,-0.030723218325817,0.052468083711354
7,0.00280965657763033,-0.0343533844485139,0.0568042673021598
8,0.0030567152796408,-0.0378326294277357,0.0610762863664848
9,0.00329859673697608,-0.0411679946979095,0.0654274788780837
