"followup_time","survival_diff","2.5%","97.5%"
0,-0.00104124075389211,-0.00813375982102021,0.0133303688370341
1,-0.00204801073135275,-0.0165912178219969,0.0233842241143271
2,-0.00298665437694901,-0.0249723920440431,0.031435840278852
3,-0.00383288543031057,-0.0333744930155742,0.0379944498150024
4,-0.0045721533967632,-0.0413705748535482,0.0434349066616458
5,-0.00519876911959938,-0.0481227224112523,0.0480354970586889
6,-0.00571437197002311,-0.0535007395170797,0.0520273780184095
7,-0.0061261631227022,-0.0576103214711067,0.0556206189634296
8,-0.00644515629861986,-0.0606854781164636,0.0590212177437212
9,-0.00668457256061028,-0.0629848236648864,0.062444898330708
