"followup_time","survival_diff","2.5%","97.5%"
0,0.0150175449909752,0.00343122719461725,0.0616526752802833
1,0.0281604160731013,0.00662709865304317,0.1030275692855
2,0.0400345174078613,0.0100019334619645,0.133265832681719
3,0.0510485464512467,0.0135816432070709,0.157060053072261
4,0.0614982518822715,0.0167249105665123,0.178653448171889
5,0.071610575460868,0.0198898548226463,0.198610573986143
6,0.0815680541247114,0.0232043837807285,0.216485010300342
7,0.0915223905575493,0.0267407742305996,0.232842076692681
8,0.101601126575307,0.0305668170583047,0.25063470997265
9,0.111908946083646,0.0347400661403975,0.269982771314637
