"followup_time","survival_diff","2.5%","97.5%"
0,0.00229881240887908,-0.0114227708260061,0.0219123708723958
1,0.00439032710079346,-0.0192254813536228,0.0423471138794207
2,0.00626033096197265,-0.0250007365478584,0.0569045009022892
3,0.0079048534889038,-0.0320361652932465,0.0673499315360307
4,0.00932827929727365,-0.0361364624906533,0.0772134941509525
5,0.0105413755068711,-0.0407155515002392,0.0881606507127185
6,0.0115594406078677,-0.0455805134834649,0.0970310321060223
7,0.0124006890782223,-0.0497672636189236,0.103901844096693
8,0.0130849116248437,-0.0531712253393873,0.109668968820215
9,0.0136324019622549,-0.0559615558088395,0.116036723901585
