"followup_time","survival_diff","2.5%","97.5%"
0,0.0055538539524691,-0.00515838978307054,0.0277510373374381
1,0.00925509615241082,-0.00936013541275688,0.0413157858014411
2,0.0119932170193816,-0.0132519221424399,0.0500784586508643
3,0.0142271205951507,-0.0168083407418748,0.0569780519612217
4,0.0162289087307338,-0.0195984746000862,0.0627007557320287
5,0.0181931267561023,-0.0221613975097141,0.0679904547835399
6,0.0202974009032383,-0.0245898319327589,0.0734203819581133
7,0.022749692680173,-0.0270855008834268,0.0799443692041587
8,0.0258416396994114,-0.0296642769008402,0.0887761714001284
9,0.0300210595447533,-0.0334384292921511,0.0986139875712685
