"followup_time","survival_diff","2.5%","97.5%"
0,0.0027338004819617,-0.00571128646357366,0.0331662310324544
1,0.0061898946796749,-0.0134485063268307,0.0594021600954263
2,0.0101494476958602,-0.0231331106274867,0.0865547076663159
3,0.0142802503476038,-0.0351159042687056,0.109904574653971
4,0.0182305582420418,-0.0477361013442047,0.131173549089681
5,0.0217178391394185,-0.0597393649009923,0.149310106184301
6,0.0245765600437229,-0.070133026136767,0.161754347300722
7,0.0267607545437997,-0.0783790857322528,0.169558483610175
8,0.0283178166050281,-0.0852001161539735,0.174025988472284
9,0.0293521705122723,-0.0907009744708756,0.176356238799652
