"followup_time","survival_diff","2.5%","97.5%"
0,0.00758824659680257,0.00125450639096392,0.0313621324158515
1,0.0151887283275607,0.00289612836390918,0.0585160116687741
2,0.0228311802785798,0.0049278391372502,0.0829256535613339
3,0.0305443366764818,0.00711419582366191,0.104643913846688
4,0.0383560822918183,0.00946216140255896,0.120549158949372
5,0.0462934711500763,0.0117234464083798,0.136185078905355
6,0.0543825729823691,0.014097234908117,0.1525926267813
7,0.0626480910013505,0.0166009532887795,0.170886797752197
8,0.071112676068109,0.0192765856993661,0.192430102166685
9,0.0797958439299484,0.0221948456855017,0.208739561853113
