"followup_time","survival_diff","2.5%","97.5%"
0,0.000866139667257237,-0.00918512428395934,0.0235651100262039
1,0.00169875638200589,-0.0169663713412229,0.0397761630471571
2,0.00247742656416938,-0.0232017728558729,0.0521278334021659
3,0.00318734552199751,-0.02858126644398,0.064496097531323
4,0.0038193351297614,-0.0338101770054729,0.0749977096676137
5,0.00436930849484252,-0.0381590158096026,0.0839067656378949
6,0.00483744895075422,-0.0429267642818231,0.0914638887541613
7,0.00522729166886171,-0.0473248815850794,0.0978829987587665
8,0.00554482313658067,-0.0507344171645394,0.103354029358205
9,0.00579765711987756,-0.053168376255626,0.108044117221009
